料理名,材料,量,単位,材料2,量2,単位2,材料3,量3,単位3,材料4,量4,単位4,材料5,量5,単位5,材料6,量6,単位6,材料7,量7,単位7,列10,列1,列2,列3,列4,列5,列6,列7,列8,列9
ハンバーグ,合い挽き肉,250,g,玉葱,0.5,個,パン粉,75,ml,牛乳,40,ml,卵,1,個,塩,1.5,ml,胡椒,1,ml,,,,,,,,,,料理方法
鮭,水で五分強火で焼く,5,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビストロ:自動メニュー:6:ハンバーグ
豚肉の味噌付け焼き,豚ロース,4,枚,味噌,22.5,ml,砂糖,22.5,ml,油,15,ml,生姜汁,2.5,ml,,,,,,,,,,,,,,,,
鴨,買ってくる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
シチュー,シチュールー,0.5,箱,豚肉,100,g,人参,0.5,本,じゃがいも,2,個,玉葱,1,個,パン,1,袋,,,,,,,,,,,,,
冬瓜のあんかけ,冬瓜,200,g,挽肉,50,g,生姜,0.5,個,水,126,ml,ほんだし,0.3,ml,酒,5,ml,醤油,7.5,ml,塩,1,g,水,10,ml,胡椒,1,ml,HC:自動-煮物1-5:まぜあり
魚の照り焼き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タンドリーチキン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青椒肉絲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アスパラ巻き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏肉とたけのこの煮物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筑前煮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
餃子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜炒め,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カツ丼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生姜焼き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白菜シーチキン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉野家風牛丼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カツレツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
里芋の煮物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カレイの煮付け,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ジャーマンポテト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麻婆豆腐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天ぷら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アクアパッツァ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冷しゃぶ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卵焼き定食,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
焼き肉定食,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
さしみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
うどん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜炒め,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ピザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏のネギ塩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
オクラ巻き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏の南蛮揚げ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
肉じゃが,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏雑炊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ごぼう人参巻き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回鍋肉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ローストビーフ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
お好み焼き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ステーキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏の照り焼き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あじ揚げ物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏肉のネギマヨポン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
