料理名,材料,量,単位,材料2,量2,単位2,材料3,量3,単位3,材料4,量4,単位4,材料5,量5,単位5,材料6,量6,単位6,材料7,量7,単位7,列10,列1,列2,列3,列4,列5,列6,列7,列8,列9,列93,列92,料理方法
ハンバーグ,合い挽き肉,250,g,玉葱,0.5,個,パン粉,75,ml,牛乳,40,ml,卵,1,個,胡椒,1,ml,,,,,,,,,,,,,,,,ビストロ:自動メニュー:6:ハンバーグ
鮭,水で五分強火で焼く,5,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
豚肉の味噌付け焼き,豚ロース,4,枚,味噌,22.5,ml,砂糖,22.5,ml,油,15,ml,生姜汁,2.5,ml,,,,,,,,,,,,,,,,,,,
鴨,買ってくる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
シチュー,シチュールー,0.5,箱,豚肉,100,g,人参,0.5,本,じゃがいも,2,個,玉葱,1,個,ニンニクチューブ,4,cm,パン,1,袋,水,450,ml,牛乳,100,ml,,,,,,,HC:自動1-15:まぜあり45分
冬瓜のあんかけ,冬瓜,200,g,挽肉,50,g,生姜,0.5,個,水,126,ml,本だし,0.3,ml,酒,5,ml,醤油,7.5,ml,塩,1,g,水,10,ml,胡椒,1,ml,,,,HC:自動1-5:まぜあり
魚の照り焼き,魚,2,切れ,砂糖,5,ml,酒,30,ml,みりん,30,ml,醤油,30,ml,,,,,,,,,,,,,,,,,,,フライパンで焼く
タンドリーチキン,チキン,200,g,プレーンヨーグルト,100,g,トマトケチャップ,30,ml,カレー粉,10,ml,蜂蜜,10,ml,バター,1,cm,胡椒,1,ml,,,,,,,,,,,,,
青椒肉絲,牛肉,150,g,ピーマン,6,個,たけのこ,150,g,片栗粉,15,ml,,,,,,,,,,,,,,,,,,,,,,
アスパラ巻き,豚肉,100,g,アスパラ,1,set,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏肉とたけのこの煮物,鶏,100,g,たけのこ,1,パック,本だし,2.5,ml,酒,22.5,ml,みりん,22.5,ml,醤油,22.5,ml,砂糖,2.5,ml,水,125,ml,,,,,,,,,,HC:手動1-2:まぜない25分
筑前煮,ごぼう,0.5,本,レンコン,100,g,鶏,1,枚,人参,1,本,蒟蒻,0.5,枚,たけのこ,200,g,酒,30,ml,醤油,30,ml,砂糖,10,ml,ごま油,10,ml,,,,HC:自動1-1:まぜあり35分
餃子,買ってくる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜炒め,キャベツ,0.25,個,ネギ,1,本,ピーマン,3,個,豚肉,200,g,人参,0.5,本,,,,,,,,,,,,,,,,,,,
カツ丼,豚カツ,1,枚,玉葱,0.25,個,卵,2,個,水,50,cc,醤油,15,ml,みりん,15,ml,酒,15,ml,砂糖,7.5,ml,だしの素,5,ml,,,,,,,
生姜焼き,豚ロース,300,g,生姜チューブ,4,cm,砂糖,10,ml,酒,15,ml,醤油,22.5,ml,みりん,30,ml,,,,,,,,,,,,,,,,
白菜シーチキン,白菜,0.25,個,シーチキン,1,缶,醤油,5,ml,,,,,,,,,,,,,,,,,,,,,,,,,
吉野家風牛丼,お湯,200,g,牛肉,150,g,玉葱,0.5,個,生姜,0.5,個,砂糖,22.5,ml,塩,0.5,ml,本だし,5,ml,醤油,30,ml,酒,22.5,ml,,,,,,,
カツレツ,パン粉,75,ml,粉チーズ,75,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビストロ:自動メニュー:9:とんかつ
里芋の煮物,里芋,350,g,砂糖,15,ml,醤油,15,ml,酒,15,ml,みりん,15,ml,,,,,,,,,,,,,,,,,,,
カレイの煮付け,魚,2,切れ,酒,20,ml,みりん,15,ml,醤油,15,ml,砂糖,2.5,ml,,,,,,,,,,,,,,,,,,,HC:自動1-9:まぜない20分
ジャーマンポテト,じゃがいも,3,個,玉葱,0.5,個,ベーコン,1,袋,ニンニク,4,cm,コンソメ,10,ml,塩,1,ml,胡椒,1,ml,,,,,,,,,,,,,
麻婆豆腐,CookDo,1,袋,豆腐,0.5,丁,挽肉,100,g,,,,,,,,,,,,,,,,,,,,,,,,,
天ぷら,マヨネーズ,30,ml,小麦粉,100,g,水,150,ml,,,,,,,,,,,,,,,,,,,,,,,,,
アクアパッツァ,鯛,3,切れ,エビ,40,g,ホタテ,40,g,なす,65,g,赤ピーマン,15,g,アスパラガス,20,g,エリンギ,20,g,ニンニク,2,cm,白ワイン,30,ml,塩,1,ml,油,15,ml,
冷しゃぶ,豚肉,200,g,ポン酢,30,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卵焼き定食,卵,2,個,ミックスベジタブル,100,g,ソーセージ,1,袋,,,,,,,,,,,,,,,,,,,,,,,,,
焼き肉定食,牛肉,200,g,ピーマン,2,個,玉葱,0.5,個,もやし,0.3,袋,,,,,,,,,,,,,,,,,,,,,,
さしみ,買ってくる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
うどん,讃岐,2,玉,卵,2,個,ネギ,1,本,蒲鉾,0.5,竿,あげ,2,枚,あげだま,50,ml,わかめ,10,ml,,,,,,,,,,,,,
ピザ,買ってくる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏のネギ塩,鶏,250,g,ネギ,1,本,塩,2,g,,,,,,,,,,,,,,,,,,,,,,,,,
オクラ巻き,オクラ,1,パック,豚肉,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏の南蛮揚げ,鶏もも肉,2,枚,卵,1,個,小麦粉,50,g,醤油,30,ml,砂糖,45,ml,酢,37.5,ml,唐辛子,1,本,,,,,,,,,,,,,
肉じゃが,しゃがいも,3,個,玉葱,2,個,人参,0.5,本,絹さや,1,パック,肉,200,g,砂糖,20,ml,酒,30,ml,醤油,25,ml,みりん,15,ml,水,20,ml,,,,HC:自動1-1:まぜあり35分
鶏雑炊,ご飯,2,膳,卵,2,個,だし,10,ml,水,500,ml,酒,30,ml,醤油,10,ml,みりん,10,ml,塩,1,ml,,,,,,,,,,
ごぼう人参巻き,ごぼう,0.5,本,人参,0.5,本,豚肉,100,g,,,,,,,,,,,,,,,,,,,,,,,,,
回鍋肉,CookDo,1,箱,豚バラ肉,200,g,キャベツ,0.25,個,ピーマン,2,個,ネギ,0.5,本,,,,,,,,,,,,,,,,,,,
ローストビーフ,牛肉の塊,400,g,塩,2,ml,胡椒,1,ml,ニンニクチューブ,2,cm,生姜チューブ,2,cm,,,,,,,,,,,,,,,,,,,HC:手動5で61度2時間
お好み焼き,小麦粉,100,g,水,120,ml,出汁の素,15,ml,卵,1,個,揚げ玉,60,ml,キャベツ,150,g,山芋パウダー,1,袋,鰹節,1,pack,お好み焼きソース,60,ml,肉,100,g,,,,
ステーキ,肉,200,g,大根おろしのタレ,30,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏の照り焼き,鶏もも肉,2,枚,砂糖,5,ml,酒,30,ml,みりん,30,ml,醤油,30,ml,,,,,,,,,,,,,,,,,,,
あじ揚げ物,マヨネーズ,15,ml,小麦粉,50,g,水,75,ml,,,,,,,,,,,,,,,,,,,,,,,,,
鶏肉のネギマヨポン,鶏肉,1,枚,酒,7.5,ml,醤油,7.5,ml,片栗粉,22.5,ml,マヨネーズ,22.5,ml,ポン酢,15,ml,ネギ,1,本,,,,,,,,,,,,,
おでん,だいこん,0.5,本,じゃがいも,2,個,人参,1,本,蒟蒻0.5,個,ちくわ,2,本,ゆでたまご,2,個,醤油,50,ml,みりん,30,ml,酒,30,ml,だし汁,800,ml
