曜日記号,曜日,食事,分類,メニュー,塩分/一人,塩分総量,人数(何人前),醤油,塩,だし,パン粉,粉チーズ,素材/ソース,コンソメ
0,Sun,Lunch,Down01,ピザ,3.25,13,4,,,,,,,
0,Sun,Lunch,Down02,なし,0,0,0,,,,,,,
0,Sun,Lunch,Up01,なし,0,0,0,,,,,,,
0,Sun,Lunch,Up02,なし,0,0,0,,,,,,,
0,Sun,Dinner,サラダ,サラダ,0.46,0.46,1,,,,,,,
0,Sun,Dinner,果物,バナナ,0,0,0,,,,,,,
0,Sun,Dinner,汁物,味噌汁,0.9085,5.451,6,,,,,,,
0,Sun,Dinner,メイン,野菜炒め,0.9,1.8,2,,,,,,,
1,Mon,Lunch,Down01,鶏のネギ塩,1,2,2,,,,,,,
1,Mon,Lunch,Down02,ゼリー,0,0,0,,,,,,,
1,Mon,Lunch,Up01,卵ソーセージ,0.9625,1.925,2,,,,,,,
1,Mon,Lunch,Up02,バナナ,0,0,0,,,,,,,
1,Mon,Dinner,サラダ,サラダ,0.46,0.46,1,,,,,,,
1,Mon,Dinner,果物,キウイ,0,0,0,,,,,,,
1,Mon,Dinner,汁物,味噌汁,0.9085,5.451,6,,,,,,,
1,Mon,Dinner,メイン,ハンバーグ,0.685243902,0.42,4,,,,0.42,,0.675,
2,Tue,Lunch,Down01,オクラ巻き,0.5,1,2,,1,,,,,
2,Tue,Lunch,Down02,ゼリー,0,0,0,,,,,,,
2,Tue,Lunch,Up01,卵ソーセージ,0.9625,1.925,2,,,,,,,
2,Tue,Lunch,Up02,キウイ,0,0,0,,,,,,,
2,Tue,Dinner,サラダ,シーチキンサラダ,0.46,0.46,1,,,,,,,
2,Tue,Dinner,果物,バナナ,0,0,0,,,,,,,
2,Tue,Dinner,汁物,豚汁,0.9085,5.451,6,,,,,,,
2,Tue,Dinner,メイン,鶏の南蛮揚げ,1.3,5.2,4,,,,,,,
3,Wed,Lunch,Down01,肉じゃが,1.083333333,4.333333333,4,4.333333333,,,,,,
3,Wed,Lunch,Down02,ゼリー,0,0,0,,,,,,,
3,Wed,Lunch,Up01,卵ソーセージ,0.9625,1.925,2,,,,,,,
3,Wed,Lunch,Up02,バナナ,0,0,0,,,,,,,
3,Wed,Dinner,サラダ,シーチキンサラダ,0.46,0.46,1,,,,,,,
3,Wed,Dinner,果物,キウイ,0,0,0,,,,,,,
3,Wed,Dinner,汁物,なし,0,0,0,,,,,,,
3,Wed,Dinner,メイン,鶏雑炊,1.476666667,2.953333333,2,,,2.953333333,,,,
4,Thr,Lunch,Down01,ごぼう人参巻き,0.5,1,2,,,,,,,
4,Thr,Lunch,Down02,ゼリー,0,0,0,,,,,,,
4,Thr,Lunch,Up01,卵ソーセージ,0.9625,1.925,2,,,,,,,
4,Thr,Lunch,Up02,キウイ,0,0,0,,,,,,,
4,Thr,Dinner,サラダ,シーチキンサラダ,0.46,0.46,1,,,,,,,
4,Thr,Dinner,果物,バナナ,0,0,0,,,,,,,
4,Thr,Dinner,汁物,豚汁,0.9085,5.451,6,,,,,,,
4,Thr,Dinner,メイン,回鍋肉,1.1,4.4,4,,,,,,,
5,Fri,Lunch,Down01,卵焼き定食,0.9,1.8,2,,,,,,,
5,Fri,Lunch,Down02,ゼリー,0,0,0,,,,,,,
5,Fri,Lunch,Up01,卵ソーセージ,0.9625,1.925,2,,,,,,,
5,Fri,Lunch,Up02,バナナ,0,0,0,,,,,,,
5,Fri,Dinner,サラダ,シーチキンサラダ,0.46,0.46,1,,,,,,,
5,Fri,Dinner,果物,キウイ,0,0,0,,,,,,,
5,Fri,Dinner,汁物,味噌汁,0.9085,5.451,6,,,,,,,
5,Fri,Dinner,メイン,ローストビーフ,0.5,2,4,,,,,,,
6,Sat,Lunch,Down01,お好み焼き,1.02,4.08,4,,,,,,4.08,
6,Sat,Lunch,Down02,ゼリー,0,0,0,,,,,,,
6,Sat,Lunch,Up01,卵ソーセージ,0.9625,1.925,2,,,,,,,
6,Sat,Lunch,Up02,キウイ,0,0,0,,,,,,,
6,Sat,Dinner,サラダ,シーチキンサラダ,0.46,0.46,1,,,,,,,
6,Sat,Dinner,果物,バナナ,0,0,0,,,,,,,
6,Sat,Dinner,汁物,味噌汁,0.9085,5.451,6,,,,,,,
6,Sat,Dinner,メイン,ステーキ,0.675,1.35,2,,,,,,,
